cycle,if_valid,if_pc,if_instr,id_valid,id_pc,id_instr,ex_valid,ex_pc,ex_instr,mem_valid,mem_pc,mem_instr,wb_valid,wb_pc,wb_instr,wb_we,wb_rd,wb_wdata,stall,flush,redirect,redirect_target
0,1,0x00000000,0x00a00093,0,0x00000000,0x00000013,0,0x00000000,0x00000013,0,0x00000000,0x00000013,0,0x00000000,0x00000013,0,0,0x00000000,0,0,0,0x00000000
1,1,0x00000004,0x00000013,1,0x00000000,0x00a00093,0,0x00000000,0x00000013,0,0x00000000,0x00000013,0,0x00000000,0x00000013,0,0,0x00000000,0,0,0,0x00000000
2,1,0x00000008,0x00000013,1,0x00000004,0x00000013,1,0x00000000,0x00a00093,0,0x00000000,0x00000013,0,0x00000000,0x00000013,0,0,0x00000000,0,0,0,0x00000004
3,1,0x0000000c,0x00000013,1,0x00000008,0x00000013,1,0x00000004,0x00000013,1,0x00000000,0x00a00093,0,0x00000000,0x00000013,0,0,0x00000000,0,0,0,0x00000008
4,1,0x00000010,0x01400113,1,0x0000000c,0x00000013,1,0x00000008,0x00000013,1,0x00000004,0x00000013,1,0x00000000,0x00a00093,1,1,0x0000000a,0,0,0,0x0000000c
5,1,0x00000014,0x00000013,1,0x00000010,0x01400113,1,0x0000000c,0x00000013,1,0x00000008,0x00000013,1,0x00000004,0x00000013,1,0,0x00000000,0,0,0,0x00000010
6,1,0x00000018,0x00000013,1,0x00000014,0x00000013,1,0x00000010,0x01400113,1,0x0000000c,0x00000013,1,0x00000008,0x00000013,1,0,0x00000000,0,0,0,0x00000014
7,1,0x0000001c,0x00000013,1,0x00000018,0x00000013,1,0x00000014,0x00000013,1,0x00000010,0x01400113,1,0x0000000c,0x00000013,1,0,0x00000000,0,0,0,0x00000018
8,1,0x00000020,0x002081b3,1,0x0000001c,0x00000013,1,0x00000018,0x00000013,1,0x00000014,0x00000013,1,0x00000010,0x01400113,1,2,0x00000014,0,0,0,0x0000001c
9,1,0x00000024,0x00000013,1,0x00000020,0x002081b3,1,0x0000001c,0x00000013,1,0x00000018,0x00000013,1,0x00000014,0x00000013,1,0,0x00000000,0,0,0,0x00000020
10,1,0x00000028,0x00000013,1,0x00000024,0x00000013,1,0x00000020,0x002081b3,1,0x0000001c,0x00000013,1,0x00000018,0x00000013,1,0,0x00000000,0,0,0,0x00000024
11,1,0x0000002c,0x00000013,1,0x00000028,0x00000013,1,0x00000024,0x00000013,1,0x00000020,0x002081b3,1,0x0000001c,0x00000013,1,0,0x00000000,0,0,0,0x00000028
12,1,0x00000030,0x40118233,1,0x0000002c,0x00000013,1,0x00000028,0x00000013,1,0x00000024,0x00000013,1,0x00000020,0x002081b3,1,3,0x0000001e,0,0,0,0x0000002c
13,1,0x00000034,0x00000013,1,0x00000030,0x40118233,1,0x0000002c,0x00000013,1,0x00000028,0x00000013,1,0x00000024,0x00000013,1,0,0x00000000,0,0,0,0x00000030
14,1,0x00000038,0x00000013,1,0x00000034,0x00000013,1,0x00000030,0x40118233,1,0x0000002c,0x00000013,1,0x00000028,0x00000013,1,0,0x00000000,0,0,0,0x00000034
15,1,0x0000003c,0x00000013,1,0x00000038,0x00000013,1,0x00000034,0x00000013,1,0x00000030,0x40118233,1,0x0000002c,0x00000013,1,0,0x00000000,0,0,0,0x00000038
16,1,0x00000040,0x0021f2b3,1,0x0000003c,0x00000013,1,0x00000038,0x00000013,1,0x00000034,0x00000013,1,0x00000030,0x40118233,1,4,0x00000014,0,0,0,0x0000003c
17,1,0x00000044,0x00000013,1,0x00000040,0x0021f2b3,1,0x0000003c,0x00000013,1,0x00000038,0x00000013,1,0x00000034,0x00000013,1,0,0x00000000,0,0,0,0x00000040
18,1,0x00000048,0x00000013,1,0x00000044,0x00000013,1,0x00000040,0x0021f2b3,1,0x0000003c,0x00000013,1,0x00000038,0x00000013,1,0,0x00000000,0,0,0,0x00000044
19,1,0x0000004c,0x00000013,1,0x00000048,0x00000013,1,0x00000044,0x00000013,1,0x00000040,0x0021f2b3,1,0x0000003c,0x00000013,1,0,0x00000000,0,0,0,0x00000048
20,1,0x00000050,0x0020e333,1,0x0000004c,0x00000013,1,0x00000048,0x00000013,1,0x00000044,0x00000013,1,0x00000040,0x0021f2b3,1,5,0x00000014,0,0,0,0x0000004c
21,1,0x00000054,0x00000013,1,0x00000050,0x0020e333,1,0x0000004c,0x00000013,1,0x00000048,0x00000013,1,0x00000044,0x00000013,1,0,0x00000000,0,0,0,0x00000050
22,1,0x00000058,0x00000013,1,0x00000054,0x00000013,1,0x00000050,0x0020e333,1,0x0000004c,0x00000013,1,0x00000048,0x00000013,1,0,0x00000000,0,0,0,0x00000054
23,1,0x0000005c,0x00000013,1,0x00000058,0x00000013,1,0x00000054,0x00000013,1,0x00000050,0x0020e333,1,0x0000004c,0x00000013,1,0,0x00000000,0,0,0,0x00000058
24,1,0x00000060,0x0020c3b3,1,0x0000005c,0x00000013,1,0x00000058,0x00000013,1,0x00000054,0x00000013,1,0x00000050,0x0020e333,1,6,0x0000001e,0,0,0,0x0000005c
25,1,0x00000064,0x00000013,1,0x00000060,0x0020c3b3,1,0x0000005c,0x00000013,1,0x00000058,0x00000013,1,0x00000054,0x00000013,1,0,0x00000000,0,0,0,0x00000060
26,1,0x00000068,0x00000013,1,0x00000064,0x00000013,1,0x00000060,0x0020c3b3,1,0x0000005c,0x00000013,1,0x00000058,0x00000013,1,0,0x00000000,0,0,0,0x00000064
27,1,0x0000006c,0x00000013,1,0x00000068,0x00000013,1,0x00000064,0x00000013,1,0x00000060,0x0020c3b3,1,0x0000005c,0x00000013,1,0,0x00000000,0,0,0,0x00000068
